Abnormality of taste sensation	HP:0000223
Panhypopituitarism	HP:0000871
Posterior fossa cyst at the fourth ventricle	HP:0000933
Neurofibromatosis	HP:0001067
Neurofibroma	HP:0001067
multiple neurofibromas	HP:0001067
Neurofibromata	HP:0001067
Mental retardation	HP:0001249
Low intelligence	HP:0001249
Mental deficiency	HP:0001249
Mental-retardation	HP:0001249
Nonprogressive intellectual disability	HP:0001249
Poor school performance	HP:0001249
Mental retardation, nonspecific	HP:0001249
Nonprogressive mental retardation	HP:0001249
Dull intelligence	HP:0001249
Intellectual disability	HP:0001249
Seizures	HP:0001250
Epilepsy	HP:0001250
Seizure	HP:0001250
Epileptic seizure	HP:0001250
Cerebellar ataxia	HP:0001251
Ataxia	HP:0001251
Inactivity	HP:0001254
Dullness	HP:0001254
Lethargy	HP:0001254
Languor	HP:0001254
Slowness	HP:0001254
Torpor	HP:0001254
Inaction	HP:0001254
Mental retardation, mild	HP:0001256
Mild and nonprogressive mental retardation	HP:0001256
Mental retardation, borderline-mild	HP:0001256
Mild mental retardation	HP:0001256
Intellectual disability, mild	HP:0001256
Muscle spasticity	HP:0001257
Spasticity	HP:0001257
Involuntary muscle stiffness, contraction, or spasm	HP:0001257
Muscular spasticity	HP:0001257
Spastic paraplegia	HP:0001258
Spastic paraplegia, lower limb	HP:0001258
Coma	HP:0001259
Unconsciousness	HP:0001259
Stupor	HP:0001259
Trance	HP:0001259
Persistent vegetative state	HP:0001259
Dysarthric speech	HP:0001260
Difficulty articulating speech	HP:0001260
Dysarthria	HP:0001260
Excessive daytime somnolence	HP:0001262
Excessive daytime sleepiness	HP:0001262
More than typical sleepiness during day	HP:0001262
Delayed developmental milestones	HP:0001263
Lack of psychomotor development	HP:0001263
Retarded development	HP:0001263
Developmental delay	HP:0001263
Mental and motor retardation	HP:0001263
GDD	HP:0001263
Psychomotor delay	HP:0001263
Retarded mental development	HP:0001263
Delayed intellectual development	HP:0001263
Developmental retardation	HP:0001263
Developmental delay in early childhood	HP:0001263
Delayed psychomotor development	HP:0001263
Delayed milestones	HP:0001263
Cognitive delay	HP:0001263
Delayed development	HP:0001263
Retarded psychomotor development	HP:0001263
Global developmental delay	HP:0001263
Psychomotor development failure	HP:0001263
Psychomotor development deficiency	HP:0001263
Delayed cognitive development	HP:0001263
Psychomotor developmental delay	HP:0001263
Motormental retardation	HP:0001263
Motor and developmental delay	HP:0001263
Developmental delay, global	HP:0001263
Spastic diplegic	HP:0001264
Spastic diparesis	HP:0001264
Spastic diplegia	HP:0001264
Decreased reflexes	HP:0001265
Hyporeflexia	HP:0001265
Decreased reflex response	HP:0001265
Choreoathetosis	HP:0001266
Choreoathetoid movements	HP:0001266
Intellectual deterioration	HP:0001268
Progressive cognitive decline	HP:0001268
Cognitive decline, progressive	HP:0001268
Cognitive decline	HP:0001268
Mental deterioration	HP:0001268
Hemiparesis	HP:0001269
Weakness of one side of body	HP:0001269
Delayed development of motor milestones	HP:0001270
Motor retardation	HP:0001270
Delayed early motor milestones	HP:0001270
Delayed motor milestones	HP:0001270
Motor developmental milestones not achieved	HP:0001270
Delay in motor development	HP:0001270
Motor delay	HP:0001270
Delay in development of motor milestones	HP:0001270
Motor developmental delay	HP:0001270
No development of motor milestones	HP:0001270
Delayed motor development	HP:0001270
Locomotor delay	HP:0001270
Slow development of motor milestones	HP:0001270
Retarded motor development	HP:0001270
Polyneuropathy	HP:0001271
Peripheral nerve disease	HP:0001271
Cerebellar atrophy	HP:0001272
Infratentorial atrophy	HP:0001272
Degeneration of cerebellum	HP:0001272
Atrophic cerebellum	HP:0001272
Abnormal corpus callosum morphology	HP:0001273
Abnormal corpus callosum	HP:0001273
Abnormality of the corpus callosum	HP:0001273
Corpus callosum abnormality	HP:0001273
Agenesis of the corpus callosum	HP:0001274
Absent corpus callosum	HP:0001274
Agenesis of corpus callosum	HP:0001274
Corpus callosum agenesis	HP:0001274
Dysplastic or absent corpus callosum	HP:0001274
Callosal agenesis	HP:0001274
Absence of corpus callosum	HP:0001274
Decrease in blood pressure upon standing up	HP:0001278
Orthostatic hypotension	HP:0001278
Postural hypotension	HP:0001278
Bulbar palsies	HP:0001283
Bulbar palsy	HP:0001283
Bulbar weakness	HP:0001283
Bulbar muscle weakness	HP:0001283
Absent deep tendon reflexes	HP:0001284
Absent reflexes	HP:0001284
Loss of deep tendon reflexes	HP:0001284
Lost deep tendon reflexes	HP:0001284
Deep tendon reflexes absent	HP:0001284
Absent tendon reflexes	HP:0001284
Areflexia	HP:0001284
Spastic tetraparesis	HP:0001285
Spastic quadriparesis	HP:0001285
Meningitis	HP:0001287
Gait disturbances	HP:0001288
Gait disturbance	HP:0001288
Gait difficulties	HP:0001288
Walking disability	HP:0001288
Impaired gait	HP:0001288
Abnormal walk	HP:0001288
Gait abnormalities	HP:0001288
Abnormal gait	HP:0001288
Difficulty in walking	HP:0001288
Confusion	HP:0001289
Mental disorientation	HP:0001289
Disorientation	HP:0001289
Easily confused	HP:0001289
Cranial nerve abnormality	HP:0001291
Cranial nerve involvement	HP:0001291
Abnormality of the cranial nerves	HP:0001291
Abnormal cranial nerve morphology	HP:0001291
Abnormality of cranial nerve	HP:0001291
Cranial nerve disease	HP:0001291
Cranial nerve compression	HP:0001293
Stroke	HP:0001297
Cerebrovascular accidents	HP:0001297
Cerebral vascular events	HP:0001297
Cerebrovascular accident	HP:0001297
Encephalopathy	HP:0001298
Parkinsonian disease	HP:0001300
Parkinsonism	HP:0001300
Chronic sensorineural polyneuropathy	HP:0001301
Macrogyria	HP:0001302
Pachygyria	HP:0001302
Fewer and broader ridges in brain	HP:0001302
Cerebral pachygyria	HP:0001302
Torsion dystonia	HP:0001304
Dystonia musculorum deformans	HP:0001304
Dandy-Walker malformation	HP:0001305
Dandy-walker anomaly	HP:0001305
Dandy-Walker cyst	HP:0001305
Lingual fasciculations	HP:0001308
Tongue fasciculations/fibrillations	HP:0001308
Tongue fasciculations	HP:0001308
Lingual twitching	HP:0001308
Tongue twitching	HP:0001308
Tongue fasciculation	HP:0001308
Twitching of the tongue	HP:0001308
Lingual fibrillations	HP:0001308
Abnormal finger-nose-finger test	HP:0001310
Lack of coordination of movement	HP:0001310
Dysmetria	HP:0001310
Abnormal finger chase test	HP:0001310
Neurophysiologic abnormality	HP:0001311
Abnormal nervous system electrophysiology	HP:0001311
Neurophysiologic abnormalities	HP:0001311
Giant somatosensory evoked potentials	HP:0001312
Giant SEPS	HP:0001312
Decreased to absent deep tendon reflexes	HP:0001315
Decreased tendon reflexes	HP:0001315
Diminished or absent tendon reflexes	HP:0001315
Diminished or absent deep tendon reflexes	HP:0001315
Absent or decreased deep tendon reflexes	HP:0001315
Depressed tendon reflexes	HP:0001315
Reduced/absent deep tendon reflexes	HP:0001315
Hypoactive to absent deep tendon reflexes	HP:0001315
Decreased/absent deep tendon reflexes	HP:0001315
Diminished deep tendon reflexes	HP:0001315
Impaired tendon reflexes	HP:0001315
Decreased deep tendon reflexes	HP:0001315
Reduced tendon reflexes	HP:0001315
Weak or absent deep tendon reflexes	HP:0001315
Abnormality of the cerebellum	HP:0001317
Cerebellar signs	HP:0001317
Cerebellar anomaly	HP:0001317
Cerebellar abnormality	HP:0001317
Abnormal cerebellum morphology	HP:0001317
Cerebellar abnormalities	HP:0001317
Hypoplastic cerebellar vermis	HP:0001320
Cerebellar vermal hypoplasia	HP:0001320
Cerebellar vermis hypoplasia	HP:0001320
Hypoplasia of the cerebellar vermis	HP:0001320
Hypoplasia of cerebellum	HP:0001321
Congenital cerebellar hypoplasia	HP:0001321
Cerebellar hypoplasia	HP:0001321
Small cerebellum	HP:0001321
Underdeveloped cerebellum	HP:0001321
Hypoplastic cerebellum	HP:0001321
Coma caused by low blood sugar	HP:0001325
Coma, hypoglycemic	HP:0001325
Hypoglycaemic coma	HP:0001325
Loss of consciousness due to hypoglycemia	HP:0001325
Hypoglycemic coma	HP:0001325
EEG with irregular generalised spike and wave complexes	HP:0001326
EEG with irregular generalized spike and wave complexes	HP:0001326
Photosensitive myoclonic seizure	HP:0001327
Photically induced myoclonic seizure	HP:0001327
Photomyoclonic seizure	HP:0001327
Photomyoclonic seizures	HP:0001327
Specific learning disability	HP:0001328
Absence of the septum pellucidum	HP:0001331
Absent septum pellucidum	HP:0001331
Absence of septum pellucidum	HP:0001331
Missing septum pellucidum	HP:0001331
Agenesis of the septum pellucidum	HP:0001331
Dystonic disease	HP:0001332
Dystonia	HP:0001332
Dystonic movements	HP:0001332
Communicating hydrocephalus	HP:0001334
Bimanual synkinesia	HP:0001335
Mirror movements	HP:0001335
Hand mirror movements	HP:0001335
Mirror hand movements	HP:0001335
Myoclonic jerks	HP:0001336
Involuntary jerking movements	HP:0001336
Myoclonus	HP:0001336
Jerking	HP:0001336
Tremor	HP:0001337
Tremors	HP:0001337
Partial or complete agenesis of corpus callosum	HP:0001338
Partial agenesis of the corpus callosum	HP:0001338
Partial or complete agenesis of the corpus callosum	HP:0001338
Partial-total agenesis of corpus callosum	HP:0001338
Partial to complete agenesis of corpus callosum	HP:0001338
Corpus callosum agenesis, partial	HP:0001338
Partial corpus callosum agenesis	HP:0001338
Partial agenesis of corpus callosum	HP:0001338
Lissencephaly	HP:0001339
Fewer or absent grooves in brain	HP:0001339
Enhancement of the C-reflex	HP:0001340
Olfactory lobe agenesis	HP:0001341
Olfactory lobe absence	HP:0001341
Intracerebral hemorrhage	HP:0001342
Cerebral hemorrhage	HP:0001342
Intracerebral haemorrhage	HP:0001342
Cerebral haemorrhage	HP:0001342
Bleeding in brain	HP:0001342
Hemorrhagic stroke	HP:0001342
Kernicterus	HP:0001343
Nonverbal	HP:0001344
Lack of speech	HP:0001344
No speech or language development	HP:0001344
Lack of language development	HP:0001344
Absent speech development	HP:0001344
Absent speech	HP:0001344
No speech development	HP:0001344
Psychotic mentation	HP:0001345
Hyperreflexia	HP:0001347
Increased deep tendon reflexes	HP:0001347
Increased reflexes	HP:0001347
Brisk deep tendon reflexes	HP:0001348
Brisk reflexes	HP:0001348
Bilateral facial weakness	HP:0001349
Facial diplegia	HP:0001349
Facial paresis, bilateral	HP:0001349
Slurred speech	HP:0001350
Jerk-locked premyoclonus spikes	HP:0001351
Enlarged brain	HP:0001355
Megalencephaly	HP:0001355
Macrencephaly	HP:0001355
Single brain ventricle	HP:0001360
Holoprosencephaly	HP:0001360
Blindism	HP:0001483
Oculodigital phenomenon	HP:0001483
Eye poking	HP:0001483
Eye pressing	HP:0001483
Ocular auto-stimulation	HP:0001483
Vocal cord paresis	HP:0001604
Hoarse voice due to vocal cord paresis	HP:0001604
Weakness of the vocal cords	HP:0001604
Vocal cord paresis in severe cases	HP:0001604
Laryngeal paralysis	HP:0001605
Vocal cord paralysis	HP:0001605
Inability to move vocal cords	HP:0001605
Abnormally high-pitched voice	HP:0001620
High-pitched voice	HP:0001620
High pitched voice	HP:0001620
Extreme thirst	HP:0001959
Polydipsia	HP:0001959
Abnormality of the central nervous system	HP:0002011
Morphological abnormality of the central nervous system	HP:0002011
Morphological abnormality of the CNS	HP:0002011
Central nervous system disease	HP:0002011
Morphological central nervous system abnormality	HP:0002011
Dysphagia	HP:0002015
Poor swallowing	HP:0002015
Swallowing difficulty	HP:0002015
Difficulty swallowing	HP:0002015
Deglutition disorder	HP:0002015
Swallowing difficulties	HP:0002015
Anorexia	HP:0002039
Deliberately not eating	HP:0002039
Refusing to eat	HP:0002039
Obsessive dieting	HP:0002039
Cerebral atrophy	HP:0002059
Supratentorial atrophy	HP:0002059
Degeneration of cerebrum	HP:0002059
Abnormality of the telencephalon	HP:0002060
Cerebral lesion	HP:0002060
Abnormality of the cerebrum	HP:0002060
Abnormal cerebral morphology	HP:0002060
Spasticity of lower extremities	HP:0002061
Spastic lower extremity	HP:0002061
Spasticity in lower limbs	HP:0002061
Spastic lower limbs	HP:0002061
Lower extremity spasticity	HP:0002061
Spastic lower extremities	HP:0002061
Spasticity in lower extremity	HP:0002061
Spasticity of lower extremity	HP:0002061
Spasticity of lower limb	HP:0002061
Spasticity of lower limbs	HP:0002061
Lower limb spasticity	HP:0002061
Spasticity in lower limb	HP:0002061
Spasticity in lower extremities	HP:0002061
Spastic lower limb	HP:0002061
Lower extremities spasticity	HP:0002061
Morphological abnormality of the pyramidal tract	HP:0002062
Abnormal pyramidal tract morphology	HP:0002062
Abnormality of the pyramidal tracts	HP:0002062
Pyramidal tract disease	HP:0002062
Spastic walk	HP:0002064
Spastic gait	HP:0002064
Gait ataxia	HP:0002066
Ataxia of gait	HP:0002066
Inability to coordinate movements when walking	HP:0002066
Ataxic gait	HP:0002066
Slow movements	HP:0002067
Slowness of movements	HP:0002067
Bradykinesia	HP:0002067
Neuromuscular dysphagia	HP:0002068
Generalised tonic-clonic seizure (without specification of onset)	HP:0002069
Tonic-clonic convulsions	HP:0002069
Generalized convulsion	HP:0002069
Grand mal	HP:0002069
Generalized tonic-clonic seizure (without specification of onset)	HP:0002069
Bilateral tonic-clonic seizure	HP:0002069
Tonic-clonic convulsion	HP:0002069
Bilateral convulsive seizures	HP:0002069
Seizures, tonic-clonic	HP:0002069
Generalised convulsion	HP:0002069
Grand mal seizures	HP:0002069
Limb ataxia	HP:0002070
Appendicular ataxia	HP:0002070
Extrapyramidal signs	HP:0002071
Extrapyramidal tract signs	HP:0002071
Extrapyramidal dysfunction	HP:0002071
Abnormality of extrapyramidal motor function	HP:0002071
Extrapyramidal symptoms	HP:0002071
Extrapyramidal syndrome	HP:0002071
Choreiform movements	HP:0002072
Choreic movements	HP:0002072
Choreatic disease	HP:0002072
Chorea	HP:0002072
Progressive cerebellar ataxia	HP:0002073
Cerebellar ataxia, progressive	HP:0002073
Progressive ataxia	HP:0002073
Neuronal lipopigments	HP:0002074
Increased neuronal autofluorescent lipopigment	HP:0002074
Dysdiadochokinesia	HP:0002075
Dysdiadochokinesis	HP:0002075
Difficulty performing quick and alternating movements	HP:0002075
Migraine headache	HP:0002076
Migraine headaches	HP:0002076
Migraine	HP:0002076
Intermittent migraine headaches	HP:0002076
Migraine with aura	HP:0002077
Trunk ataxia	HP:0002078
Instability or lack of coordination of central trunk muscles	HP:0002078
Truncal ataxia	HP:0002078
Corpus callosum hypoplasia	HP:0002079
Hypoplastic corpus callosum	HP:0002079
Underdevelopment of part of brain called corpus callosum	HP:0002079
Hypoplasia of corpus callosum	HP:0002079
Hypoplasia of the corpus callosum	HP:0002079
Cerebellar tremor	HP:0002080
Intention tremor	HP:0002080
Terminal tremor	HP:0002080
Migraine without aura	HP:0002083
Encephalocele	HP:0002084
Bifid skull	HP:0002084
Cranium bifidum	HP:0002084
Occipital encephalocele	HP:0002085
Brain tissue sticks out through back of skull	HP:0002085
Posterior encephalocele	HP:0002085
Occipital meningoencephalocele	HP:0002085
Abnormal cerebral ventricle morphology	HP:0002118
Abnormality of the cerebral ventricles	HP:0002118
Enlarged ventricles	HP:0002119
Enlarged ventricular system	HP:0002119
Ventricular dilatation	HP:0002119
Cerebral ventricular dilatation	HP:0002119
Large cerebral ventricles and cisternae	HP:0002119
Enlarged cerebral ventricles	HP:0002119
Dilated cerebral ventricle	HP:0002119
Ventriculomegaly	HP:0002119
Dilated ventricles	HP:0002119
Dilated cerebral ventricles	HP:0002119
Decrease in size of the outer layer of the brain due to loss of brain cells	HP:0002120
Cortical atrophy	HP:0002120
Cerebral cortical atrophy	HP:0002120
Cerebral cortex atrophy	HP:0002120
Absence seizures	HP:0002121
Petit mal	HP:0002121
Brief seizures with staring spells	HP:0002121
Petit mal seizures	HP:0002121
Petit mal seizure	HP:0002121
Absence seizure	HP:0002121
Generalised non-motor (absence) seizure	HP:0002121
Generalised non-motor seizure	HP:0002121
Generalized non-motor (absence) seizure	HP:0002121
Generalised epileptic myoclonus	HP:0002123
Generalized myoclonic seizures	HP:0002123
Generalised myoclonic seizure	HP:0002123
Generalized epileptic myoclonus	HP:0002123
Generalized myoclonic seizure	HP:0002123
Myoclonus seizures	HP:0002123
Generalised myoclonic seizures	HP:0002123
Myoclonic epilepsy, progressive	HP:0002123
More grooves in brain	HP:0002126
Polymicrogyria	HP:0002126
Abnormal upper motor neuron morphology	HP:0002127
Abnormal shape of upper motor neuron	HP:0002127
Paroxysmal ataxia	HP:0002131
Intermittent cerebellar ataxia	HP:0002131
Episodic ataxia	HP:0002131
Porencephalic cyst	HP:0002132
Cavity within brain	HP:0002132
Repeated seizure without recovery	HP:0002133
Status epilepticus	HP:0002133
Repeated seizures without recovery between them	HP:0002133
Prolonged seizure	HP:0002133
Anomaly of the basal ganglia	HP:0002134
Abnormality of the basal ganglia	HP:0002134
Basal ganglia disease	HP:0002134
Abnormal basal ganglia morphology	HP:0002134
Calcification of the basal ganglia	HP:0002135
Basal ganglia calcification	HP:0002135
Basal ganglia calcifications	HP:0002135
Basal ganglion calcification	HP:0002135
Wide based gait	HP:0002136
Wide-based gait	HP:0002136
Broad based gait	HP:0002136
Wide based walk	HP:0002136
Broad-based gait	HP:0002136
Subarachnoid hemorrhage	HP:0002138
Arhinencephaly	HP:0002139
Arrhinencephaly	HP:0002139
Ischemic stroke	HP:0002140
Ischaemic stroke	HP:0002140
Abnormality of balance	HP:0002141
Imbalanced walk	HP:0002141
Gait imbalance	HP:0002141
Abnormality of equilibrium	HP:0002141
Spinal cord disease	HP:0002143
Abnormality of the spinal cord	HP:0002143
Spinal cord pathology	HP:0002143
Abnormal spinal cord morphology	HP:0002143
Occult spinal dysraphism	HP:0002144
Tethered cord	HP:0002144
Frontotemporal dementia	HP:0002145
Decreased vibratory sense in lower limbs	HP:0002166
Distal sensory loss, especially vibratory sense	HP:0002166
Decreased lower limb vibratory sense	HP:0002166
Decreased vibratory sense in the lower limbs	HP:0002166
Decreased vibratory sense in the lower extremities	HP:0002166
Impaired vibration sensation in the lower limbs	HP:0002166
Diminished vibratory sensation in the legs	HP:0002166
Distal vibratory impairment of the lower limbs	HP:0002166
Abnormality of speech or vocalization	HP:0002167
Abnormal speech	HP:0002167
Abnormal speech pattern	HP:0002167
Abnormal vocalization	HP:0002167
Abnormal vocalisation	HP:0002167
Scanning speech	HP:0002168
Explosive speech	HP:0002168
Clonus	HP:0002169
Involuntary rhythmic muscular contractions and relaxations	HP:0002169
Bleeding within the skull	HP:0002170
Intracranial hemorrhage	HP:0002170
Intracranial haemorrhage	HP:0002170
Cerebral gliosis	HP:0002171
Excess astrocytes in brain	HP:0002171
Gliosis	HP:0002171
Imbalance	HP:0002172
Balance impairment	HP:0002172
Postural instability	HP:0002172
Abnormal retropulsion test	HP:0002172
Hypoglycemic seizures	HP:0002173
Tremor, postural	HP:0002174
Postural tremor	HP:0002174
Pressure on spinal cord	HP:0002176
Spinal cord compression	HP:0002176
Opisthotonos	HP:0002179
Opisthotonus	HP:0002179
Ongoing loss of nerve cells	HP:0002180
