Pneumomediastinum	HP:0025421
Increased aromatic amino acid level in urine	None
Calcium phosphate crystalluria	None
Complete or near-complete absence of specific antibody response to Haemophilus influenzae type b (Hib) vaccine	None
Elevated ALP of bone origin	None
Increased serum bone-specific alkaline phosphatase	None
Elevated alkaline phosphatase of bone origin	None
Medium chain dicarboxylic aciduria	None
Elevated blood homocystine	None
Hyperhomocystinemia	None
Homocystinemia	None
Reduced galactocerebrosidase activity in cultured fibroblasts	None
Reduced circulating galactocerebrosidase activity	None
Reduced tissue galactocerebrosidase activity	None
Reduced leukocyte galactocerebrosidase activity	None
Elevated sweat Cl	None
Elevated sweat chloride	None
Elevated sweat Cl-	None
Decreased iduronate sulfatase level	None
Elevated CSF dihydrothymine concentration	None
Dihydrothymine high in CSF	None
Abnormal phosphoribosylpyrophosphate synthetase level	None
Reduced circulating 3-ketoacyl-CoA thiolase concentration	None
3-ketoacyl-CoA thiolase (THIO) deficiency	None
Abnormal CSF valine concentration	None
Abnormal valine levels in cerebrospinal fluid	None
Periorbital cellulitis	None
Periorbital edema	None
Periorbital oedema	None
Increased level of phenylalanine in urine	None
Phenylalaninuria	None
Increased circulating Tg levels	None
Increased plasma Tg levels	None
Hypertriglyceridemia	None
Increased serum triglycerides	None
Increased plasma triglycerides	None
Increased triglycerides	None
Anti-trypanosoma cruzi antibody positivity	None
Elevated urinary N-carbamyl-beta-aminoisobutyric acid level	None
Reduced xanthine dehydrogenase level	None
Xanthine dehydrogenase deficiency	None
Hyperkalemia	None
Increased circulating potassium concentration	None
Increased urinary sulphate	None
Increased urinary sulfate	None
Increased urinary xanthine	None
Xanthinuria	None
Pseudohyperkalemia	None
Increased blood arginine concentration	None
Hyperargininemia	None
High blood arginine levels	None
High urine uracil levels	None
Uraciluria	None
Elevated circulating 1-methylhistidine concentration	None
Positive Dengue virus PCR test in the blood circulation	None
Elevated urinary 4-tyramine level	None
Blood parasite	None
Parasitemia	None
Transient decreased circulating IgA	None
Abnormal leukocyte enzyme concentration or activity	None
High albumin levels in cerebrospinal fluid	None
Increased CSF albumin concentration	None
Atypical hyperphenylalaninemia	None
Bence Jones Proteinuria	None
Acute respiratory acidosis	None
Reduced hepatic glucose-6-phosphate translocase activity	None
Decreased phosphoribosylpyrophosphate synthetase level	None
Decreased circulating antibody level	None
Hypogammaglobulinemia	None
Immunoglobulin deficiency	None
Decreased serum immunoglobulin	None
Reduced immunoglobulin levels	None
Decreased antibody level in blood	None
Decreased immunoglobulin level	None
Decreased circulating antibody concentration	None
Abnormal blood monovalent inorganic cation concentration	None
Abnormality of monovalent inorganic cation homeostasis	None
Defective interstrand cross-link repair	None
Increased urine HCO3 concentration	None
Bicarbonaturia	None
Increased urine bicarbonate concentration	None
Bloodstream Trypanosoma cruzi	None
Trypanosoma cruzi present on peripheral blood smear	None
Polyclonal elevation of IgM	None
Inappropriately low urine osmolality following challenge	None
Increased level of 3-hydroxy-3-methylglutaric acid in urine	None
Low plasma citrulline	None
Abnormal fecal pH	None
Abnormal faecal pH	None
Abnormal circulating aspartate concentration	None
Abnormal circulating aspartic acid concentration	None
Elevated circulating 3-hydroxykynurenine concentration	None
Anti-measles antibody positivity	None
Measles antibody titer high in blood	None
Nonketotic hyperglycinemia	None
Organic aciduria	None
Oligoclonal elevation of circulating IgG	None
Reduced leukocyte steroid sulfatase activity	None
Reduced leukocyte arylsulfatase C activity	None
Elevated urine 3,5,6-trichloro-2-pyridinol level	None
Albuminuria	None
Elevated urinary glutarylglycine level	None
Abnormal circulating unsaturated fatty acid concentration	None
Leucine crystalluria	None
Elevated urine glycolate	None
Cylindruria	None
Urinary casts	None
Increased urinary 8-oxo-7,8-dihydroguanosine level	None
Increased urine 8-oxo-GMP	None
Increased urinary 8-oxo-Gsn level	None
Increased urinary 8-oxo-7,8-dihydroguanosine	None
Increased urine 8-oxo-7,8-dihydroguanosine	None
Elevated urinary 3-hydroxyadipate level	None
Elevated urinary 3-hydroxyadipic acid level	None
Elevated urinary bile alcohol level	None
Abnormal urine hexanoylglycine concentration	None
Abnormal urinary N-hexanoylglycine levels	None
Depletion of mitochondrial DNA in liver	None
Increased circulating inosine concentration	None
Elevated urinary porphyrin level	None
Abnormal CD69 upregulation upon TCR activation	None
Elevated circulating phosphoethanolamine concentration	None
Elevated circulating o-phosphoethanolamine concentration	None
Decreased urinary creatine level	None
CMV antibody titer high in blood	None
Anti-cytomegalovirus antibody positivity	None
Elevated circulating 3,4-dihydroxyphenylalanine concentration	None
Elevated circulating DOPA concentration	None
DOPA high in blood	None
Beta 2-microglobulinuria	None
Carnitinuria	None
Carnitine high in urine	None
High serum osmolality	None
Abnormal tissue enzyme activity	None
Abnormal tissue enzyme concentration or activity	None
Polyclonal elevated circulating IgE concentration	None
Isoleucinuria	None
Hyperisoleucinuria	None
Isoleucine high in urine	None
Elevated circulating interleukin-2 receptor alpha-chain	None
Elevated circulating soluble CD25 concentration	None
Increased circulating iron concentration	None
Increased serum iron	None
Decreased serum thromboxane B2	None
Non-periodic recurrent fever	None
Aqueous humor viral DNA positivity	None
Impaired Ig class switch recombination	None
Impaired B-lymphocyte isotype switching	None
Abnormal circulating complement factor H related protein 1 concentration	None
Premature chromatid separation	None
Positive stool occult blood test	None
Positive faecal occult blood test	None
Positive fecal occult blood test	None
Glutaric acidemia	None
Elevated circulating glutaric acid concentration	None
Glutarate acidemia	None
Abnormal CSF serine family amino acid concentration	None
Abnormal serine-family amino acid levels in cerebrospinal fluid	None
Reduced 3-phosphoglycerate dehydrogenase activity	None
Decreased CSF leucine concentration	None
Low leucine levels in cerebrospinal fluid	None
Reduced BUN	None
Reduced blood urea nitrogen	None
Elevated urinary gamma-glutamylcysteine level	None
Macular amyloidosis	None
Cutaneous macular amyloidosis	None
Proline high in urine	None
Prolinuria	None
Elevated urinary 7-hydroxyoctanoic acid level	None
Elevated urine arabitol level	None
Arabitol high in urine	None
Alpha-aminoadipic aciduria	None
2-aminoadipic aciduria	None
Abnormal A-type atrial natriuretic peptide level	None
Abnormal circulating A-type atrial natriuretic peptide concentration	None
Abnormal immunoglobulin level in body fluid	None
Reduced lysosomal acid lipase activity	None
Reduced leukocyte acid lipase activity	None
2-hydroxyadipic acid high in urine	None
2-hydroxyadipic aciduria	None
Elevated circulating gamma-aminobutyric acid concentration	None
Increased circulating GABA concentration	None
Increased level of gamma-aminobutyric acid in serum	None
Increased level of GABA in serum	None
Reduced tissue tissue AICAR transformylase activity	None
Decreased serum ferritin	None
Decreased circulating ferritin concentration	None
Decreased plasma ferritin	None
Reduced serum ferritin	None
Low ferritin level	None
Positive bloodstream nucleic acid pathogen test	None
Increased circulating very-low-density lipoprotein levels	None
Increased circulating very-low-density lipoprotein cholesterol	None
Increased plasma VLDL cholesterol	None
Increased VLDL cholesterol concentration	None
Increased fecal CIII:CI ratio	None
Coproporphyrin isomer III/I ratio high in stool	None
Increased faecal CIII:CI ratio	None
Increased fecal coproporphyrin III:coproporphyrin I ratio	None
Demonstration of Leishmania in tissue	None
Increased urinary glycerol	None
Bartonella henselae antibody titer high in blood	None
Anti-Bartonella henselae antibody positivity	None
Reduced muscle phosphorylase kinase activity	None
Abnormal insulin like growth factor binding protein acid labile subunit level	None
Cutaneous nodular amyloidosis	None
Elevated urinary 2-oxoisocaproic level	None
Reduced branched-chain alpha-keto acid dehydrogenase activity in cultured fibroblasts	None
Decreased circulating acid maltase activity	None
Decreased alpha-1,4-glucosidase activity	None
Abnormal circulating asparagine concentration	None
Abnormality of asparagine metabolism	None
Reduced tissue neuraminidase activity	None
Abnormal GPRT level	None
Abnormal hypoxanthine-guanine phosphoribosyltransferase level	None
Abnormal 6-hydroxypurine phosphoribosyltransferase level	None
Abnormal GMP pyrophosphorylase level	None
Reduced erythrocyte arginase activity	None
Anti-West Nile virus antibody positivity	None
Abnormal blood inorganic cation concentration	None
Abnormality of divalent inorganic cation homeostasis	None
Glutathione high in urine	None
Glutathionuria	None
Hypoglutamatemia	None
Low blood glutamate levels	None
Decreased blood glutamate concentrations	None
Positive bloodstream Coxsackievirus nucleic acid pathogen test	None
Elevated aromatase activity	None
Alpha-ketoglutarate high in blood	None
Elevated circulating alpha-ketoglutarate concentration	None
Positive nasopharyngeal corynebacterium diphtheriae nucleic acid test	None
Decreased circulating thyroxine-binding globulin concentration	None
Thyroxine-binding globulin low in blood	None
Elevated circulating C5-DC acylcarnitine concentration	None
Elevated plasma glutarylcarnitine, C5-DC	None
Elevated circulating O-glutarylcarnitine concentration	None
Elevated circulating glutarylcarnitine concentration	None
Joint swelling	None
Neonatal unconjugated hyperbilirubinemia	None
Abnormal isoleucine levels in cerebrospinal fluid	None
Abnormal CSF isoleucine concentration	None
Elevated circulating tenascin-C level	None
Diminished urine glutamine level	None
Increased serum sorbitol concentration	None
Hypergammaglobulinaemia	None
Hyperglobulinemia	None
Increased serum gamma globulin	None
Elevated immunoglobulin levels	None
Hypergammaglobulinemia	None
Increased antibody level in blood	None
Increased gamma globulin	None
Raised immunoglobulin levels	None
Increased circulating antibody concentration	None
Increased immunoglobulin level	None
Increased circulating antibody level	None
Abnormal circulating phytanic acid level	None
Abnormal circulating phytanic acid concentration	None
Elevated plasma 3-OH-Palmitoleylcarnitine, C16:1-OH	None
Elevated circulating 3-OH-palmitoleylcarnitine concentration	None
Elevated circulating 3-hydroxypalmitoleylcarnitine concentration	None
Elevated CSF saccharopine concentration	None
Saccharopine present in CSF	None
Increased lactate dehydrogenase level	None
Increased circulating lactate dehydrogenase concentration	None
Increased circulating LDH concentration	None
Decreased G6PD level in tissue	None
Decreased glucose-6-phosphate dehydrogenase level in tissue	None
Seizures due to hypocalcemia	None
Hypocalcemic seizures	None
Low calcium seizures	None
Increased urinary sedoheptulose	None
Drug resistance	None
Refractory drug response	None
Low urinary cyclic AMP response to PTH administration	None
Decreased Wiskott-Aldrich syndrome protein concentration in hematopoietic cells	None
Elevated urinary S-sulfocysteine level	None
S-sulfocysteine high in urine	None
Elevated urine glutaconic acid level	None
Decreased serum methionine	None
Hypomethioninemia	None
Decreased plasma methionine	None
Abnormality of body height	None
Increased body height	None
Increased linear growth	None
Tall stature	None
Accelerated linear growth	None
Pubertal delay	None
Delayed puberty	None
Delayed pubertal growth	None
Delayed pubertal development	None
Pituitary dwarfism	None
Growth issue	None
Growth abnormality	None
Abnormal growth	None
Poor weight gain	None
Postnatal failure to thrive	None
Faltering weight	None
FTT	None
Undergrowth	None
Failure to thrive	None
Weight faltering	None
Poor growth	None
Growth failure	None
Retarded growth	None
Growth deficiency	None
Growth delay	None
Delayed growth	None
Growth retardation	None
Very poor growth	None
Prenatal growth retardation	None
Prenatal-onset growth retardation	None
Intrauterine growth failure	None
In utero growth retardation	None
Intrauterine growth restriction	None
Fetal growth restriction	None
Intrauterine retardation	None
Intrauterine growth retardation	None
Prenatal growth failure	None
Prenatal onset growth retardation	None
Prenatal growth deficiency	None
Small for gestational age infant	None
FGR	None
Intrauterine growth retardation, IUGR	None
IUGR	None
Having too much body fat	None
Obesity	None
Low birth weight	None
Small for gestational age	None
Birth weight less than 10th percentile	None
Marfanoid habitus	None
Marfanoid body habitus	None
Reduced upper-lower segment ratio	None
Dolichostenomelia	None
Disproportionate tall stature	None
Fetal macrosomia	None
Macrosomia, neonatal	None
Birth weight > 90th percentile	None
Large for gestational age	None
Macrosomia	None
Birthweight > 90th percentile	None
Foetal macrosomia	None
Severe faltering weight	None
Severe postnatal failure to thrive	None
Marked failure to thrive	None
Severe failure to thrive	None
Severe weight faltering	None
Hemihypertrophy	None
Asymmetric limb hypertrophy	None
Asymmetric overgrowth	None
Postnatal onset of mild growth retardation	None
Mild postnatal growth retardation	None
Mild growth deficiency	None
Failure to thrive in first year of life	None
Weight faltering in infancy	None
Faltering weight in infancy	None
Failure to thrive in infancy	None
Thin build	None
Thin body habitus	None
Asthenic habitus	None
Slender build	None
Generalized overgrowth	None
General overgrowth	None
Overgrowth	None
Generalised overgrowth	None
Loss of weight	None
Weight loss	None
Truncal obesity	None
Centripetal obesity	None
Situs inversus visceralis	None
Situs inversus viscerum	None
Abdominal situs inversus	None
Disproportionate short stature	None
Short stature, severe disproportionate	None
Short stature, disproportionate	None
Relative short stature	None
short stature, mild	None
Mild short stature	None
Proportionate short stature	None
Short stature, proportionate	None
Proportionate small stature	None
Short stature, extreme	None
Short stature, severe	None
Proportionate dwarfism	None
Dwarfism	None
Severe short stature	None
Birth length greater than 97th percentile	None
Fetal overgrowth	None
Foetal overgrowth	None
Disproportionate short-trunk short stature	None
Disproportionate short-trunked short stature	None
Short-trunked dwarfism	None
Disproportionate short-trunked dwarfism	None
Birth length < 3rd percentile	None
Birth length less than 3rd percentile	None
Birth length <3rd percentile	None
Eunuchoid habitus	None
Decreased body height	None
Small stature	None
Height less than 3rd percentile	None
Stature below 3rd percentile	None
Short stature	None
Abnormality of habitus	None
Abnormality of body weight	None
Increased body weight	None
Weight gain	None
Low weight	None
Weight less than 3rd percentile	None
Low body weight	None
Decreased weight	None
Decreased body weight	None
Cachexia	None
Wasting syndrome	None
Rhizomelic arm shortening	None
Mesomelic/rhizomelic limb shortening	None
Rhizo-meso-acromelic limb shortening	None
Short stature, disproportionate mesomelic	None
Short stature, mesomelic	None
Mesomelic dwarfism	None
Mesomelic short stature	None
Dwarfism, short limb mesomelic	None
Severe intrauterine growth retardation	None
Intrauterine growth retardation, severe	None
Severe prenatal growth deficiency	None
Moderately short stature	None
Moderate short stature	None
Short stature, moderate	None
Marked growth retardation	None
Severe postnatal growth failure	None
Severe postnatal growth deficiency	None
Severe postnatal growth retardation	None
Severe growth delay in children	None
Moderate postnatal growth retardation	None
Moderate growth delay in children	None
Neonatal short-trunk short stature	None
Short-trunk dwarfism identifiable at birth	None
Weight faltering secondary to recurrent infections	None
Faltering weight secondary to recurrent infections	None
Failure to thrive secondary to recurrent infections	None
Micromelic dwarfism	None
Short-limb dwarfism	None
Brachymelic dwarfism	None
Disproportionate short-limb short stature	None
Short-limbed dwarfism	None
Short limb dwarfism	None
Disproportionate short limb dwarfism	None
Short limb dwarfism, disproportionate	None
Dwarfism, short-limbed	None
Short stature, disproportionate short limb	None
Short stature, disproportionate short-limb	None
Mild prenatal growth deficiency	None
Mild intrauterine growth retardation	None
Severe short-limb dwarfism	None
Postnatal growth deficiency	None
Postnatal growth deceleration	None
Postnatal growth retardation	None
Postnatal growth failure	None
Growth delay as children	None
Growth retardation as children	None
Disproportionately short upper portion of limb	None
Short stature, rhizomelic	None
Rhizomelic short limbs	None
Rhizomelia	None
Rhizomelic short stature	None
Rhizomelic dwarfism	None
Rhizomelic shortening	None
Symmetrical rhizomelic limb shortening	None
Rhizomelic limb shortening	None
Lethal micromelic dwarfism	None
Lethal short-limbed dwarfism	None
Lethal short-limbed short stature	None
Childhood-onset truncal obesity	None
Truncal obesity apparent in childhood	None
Dwarfism, neonatal short-limbed	None
Short-limb dwarfism identifiable neonatally	None
Neonatal short-limb short stature	None
Short limb dwarfism recognisable at birth	None
Neonatal short-limbed dwarfism	None
Short-limbed dwarfism identifiable at birth	None
Short-limb dwarfism identifiable at birth	None
Short limb dwarfism recognizable at birth	None
Disproportionate short-trunk short stature, identifiable in childhood	None
Short-trunk dwarfism identifiable during childhood	None
Childhood-onset short-trunk short stature	None
Asymmetric short stature	None
Lethal short-trunk short stature	None
Lethal short-trunk dwarfism	None
Childhood onset short-limb short stature	None
Short-limb dwarfism identifiable during childhood	None
Short-trunk dwarfism, identifiable in infancy	None
Infancy onset short-trunk short stature	None
Proportionate tall stature	None
Moderate intrauterine growth retardation	None
Right atrial isomerism	None
Left atrial isomerism	None
Abnormality of abdominal situs	None
Rhizomelic leg shortening	None
Delayed menarche	None
Delayed start of first period	None
Abdominal obesity	None
Central obesity	None
Abnormal upper to lower segment ratio	None
Reduced upper to lower segment ratio	None
Increased upper to lower segment ratio	None
Delayed adrenarche	None
Class I obesity	None
Obesity grade 1	None
Class II obesity	None
Obesity grade 2	None
Obesity grade 3	None
Class III obesity	None
Overweight	None
Delayed thelarche	None
Increased body fat percentage	None
Heterotaxia	None
Heterotaxy	None
Absent adolescent growth spurt	None
Absent pubertal growth spurt	None
Increased body mass index	None
Increased BMI	None
Bronchial isomerism	None
Abdominal situs ambiguus	None
Abnormal waist to hip ratio	None
Increased waist-hip ratio	None
Increased waist-to-hip ratio	None
Increased waist to hip ratio	None
Increased WHR	None
Decreased waist to hip ratio	None
Decreased waist-to-hip ratio	None
Decreased WHR	None
Decreased waist-hip ratio	None
Isomerism	None
Left Isomerism	None
Left-sided isomerism	None
Right isomerism	None
Right-sided isomerism	None
Abnormal skinfold thickness measurement	None
Abnormal triceps skinfold thickness	None
Increased triceps skinfold thickness	None
Acromegaly	None
Acral hypertrophy	None
Acral enlargement	None
Acral overgrowth	None
Acromegalic growth	None
Growth without growth hormone	None
Decreased body fat percentage	None
Decreased adipose tissue percentage	None
Abnormality of body mass index	None
Abnormal body mass index	None
Abnormal BMI	None
Decreased body mass index	None
Decreased BMI	None
Hemihypertrophy of lower limb	None
Overgrowth of one leg	None
Overgrowth of one arm	None
Hemihypertrophy of upper limb	None
Asymmetric growth	None
Uneven or disproportionate growth of one body part compared to another	None
Hemiatrophy of the body	None
Hemiatrophy	None
Asymmetric limb shortening	None
Asymmetric lower limb shortening	None
Hemiatrophy of lower limb	None
Hemiatrophy of upper limb	None
Hemihypotrophy of upper limb	None
Asymmetric upper limb shortening	None
Left and right leg differ in length or width	None
Leg length discrepancy	None
Lower limb asymmetry	None
Unequal size of arms	None
Upper limb asymmetry	None
Asymmetric leg shortening	None
Asymmetric lower limb shortness	None
Hemihypotrophy of lower limb	None
Urinary incontinence	None
Bladder incontinence	None
Loss of bladder control	None
Premature sudden cardiac death	None
Sudden cardiac death	None
Sudden death	None
Abdominal pain	None
Stomach pain	None
Pain in stomach	None
Abdominal discomfort	None
Upset stomach	None
Gastro pain	None
Gastrointestinal pain	None
Intermittent abdominal pain	None
Episodic abdominal pain	None
Faecal incontinence	None
Bowel incontinence	None
Fecal incontinence	None
Loss of bowel control	None
Anal incontinence	None
Bone pain	None
Joint pains	None
Arthritic pain	None
Arthralgia	None
Arthralgias	None
Joint pain	None
Muscle pain	None
Myalgias	None
Myalgia	None
Muscle ache	None
Back pain	None
Lumbago	None
Low back pain	None
Lower back pain	None
Exercise intolerance	None
Low exercise endurance	None
Poor exercise tolerance	None
Decreased ability to exercise	None
Inability to exercise	None
Exercise-induced muscle pain	None
Muscle pain on exercise	None
Exercise-induced myalgia	None
Muscle pain with exercise	None
Muscle pain, exercise-induced	None
Joint pain/Joint inflammation	None
Arthralgia/arthritis	None
Costochondral pain	None
Costochondral junction pain	None
Limb pain	None
Pain in extremities	None
Stress urinary incontinence	None
Abdominal colic	None
Sciatica	None
Occipital neuralgia	None
Tiredness	None
Tired	None
Fatigue	None
Episodic fatigue	None
Chronic fatigue	None
Chronic extreme exhaustion	None
Upper limb pain	None
Lower limb pain	None
Leg pain	None
Pain	None
Chronic pain	None
Long-lasting pain	None
Allodynia	None
Nipple tenderness	None
Sneeze	None
Paroxysmal sneezing	None
Constitutional symptom	None
Chills	None
Shivering	None
Shuddering	None
Rigors	None
Rigours	None
Foot pain	None
Lack of energy and strength	None
Asthenia	None
Weakness	None
Prostration	None
Scrotal pain	None
Flank pain	None
Kidney pain	None
Night sweats	None
Nocturnal hyperhidrosis	None
Otalgia	None
Ear pain	None
Pain in the ear	None
Tongue pain	None
Painful tongue	None
Neck pain	None
Shoulder pain	None
Elbow pain	None
Wrist pain	None
Finger pain	None
Hip pain	None
Knee pain	None
Pain under knee cap	None
Ankle pain	None
Toe pain	None
Eye movement-induced pain	None
Vulvar pain	None
Vulvodynia	None
Postexertional symptom exacerbation	None
Exercise-induced malaise	None
Postexertional malaise	None
Impairment of activities of daily living	None
Impaired ability to bathe oneself	None
Impaired ability to dress oneself	None
Impaired toileting ability	None
Impaired transferring ability	None
Impaired feeding ability	None
Impaired continence	None
Hot flashes	None
Chest distress	None
Tightness of chest	None
Chest tightness	None
Tightness in chest	None
Groin pain	None
Calf myalgia	None
Calf muscle pain	None
Gastrocnemius myalgia	None
Wilson sign	None
Precordial pain	None
Foetor hepaticus	None
Fetor hepaticus	None
Erythromelalgia	None
Episodic pain	None
Breakthrough pain	None
Paroxysmal rectal pain	None
Abdominal cramps	None
Bladder pain	None
Tendon pain	None
Abdominal rigidity	None
Rigid abdomen	None
Abdominal guarding	None
Body ache	None
Pharyngodynia	None
Throat discomfort	None
Pharyngalgia	None
Throat pain	None
Sore throat	None
Central fatigue	None
Cognitive fatigue	None
Sudden unexpected death in epilepsy	None
SUDEP	None
Neuralgia	None
Acute abdomen	None
Acute abdominal pain	None
Diminished health-related quality of life	None
Diminished physical health	None
Diminished physical functioning	None
Decline in physical functional health	None
Mental impairment	None
Diminished mental health	None
Reduced mental health	None
Frailty	None
Occupational disability	None
Pain between shoulder blades	None
Intrascapular pain	None
Pleuritic chest pain	None
Malaise	None
Testicular pain	None
Pain in testicles	None
Coldness	None
Coolness to palpation	None
Cold skin temperature	None
Cool skin	None
Cool skin temperature	None
Mastalgia	None
Painful breast	None
Breast pain	None
Pain in the pelvis	None
Pelvic pain	None
Buttock pain	None
Eyelid pain	None
Encopresis	None
Stool soiling	None
Stool holding	None
Jaw pain	None
Penile pain	None
Pain in penis	None
Hand pain	None
Pain in head and neck region	None
Recurrent singultus	None
Recurrent synchronous diaphragmatic flutter	None
Recurrent hiccup	None
Recurrent hiccough	None
Hiccups	None
Hiccup	None
Painful menstruation	None
Dysmenorrhea	None
Trigeminal neuralgia	None
Tic douloureux	None
Chest discomfort	None
Chest pain	None
Thoracic pain	None
Death of body tissue due to lack of blood flow or infection	None
Gangrene	None
Bad breath	None
Halitosis	None
Foetor ex ore	None
Lower jaw pain	None
Mandibular pain	None
Eye pain	None
Ocular pain	None
Epigastric pain	None
Epigastrium pain	None
Fishy body odor	None
Fishy odour	None
Fishy odor	None
Fishy body odour	None
Fish odor	None
Musty odor	None
Vaginal fish odor	None
Dyspepsia	None
Indigestion	None
Body odor	None
Osmidrosis	None
Bromidrosis	None
Bromhidrosis	None
BO	None
Anal pain	None
Anorectal pain	None
Proctalgia	None
Rectal pain	None
Excessive belching	None
Excessive eructation	None
Excessive burping	None
Costovertebral angle pain	None
Costovertebral angle tenderness	None
Chandelier sign	None
Cervical motion tenderness	None
Painful defecation	None
Pain associated with bowel movements	None
Forearm pain	None
Burning eye sensation	None
Peripheral vasoconstriction	None
Extremities cold to touch	None
Carotidynia	None
Sweaty foot-like odor	None
Pain at the base of the thumb	None
Proximal arm pain	None
Upper arm pain	None
Anterior shoulder pain	None
Pain at the anterior aspect of the elbow	None
Pain at the anterior aspect of the knee	None
Pain at the posterior aspect of the knee	None
Pain on the lateral aspect of the foot	None
Lateral foot pain	None
Pain at the medial aspect of the knee	None
Pain at the lateral aspect of the knee	None
Trochanteric pain	None
Lateral hip pain	None
Pain at the lateral aspect of the hip	None
Pain on the outside of the hip	None
Pain at the lateral aspect of the elbow	None
Radial elbow pain	None
Lateral elbow pain	None
Pain at the posterior aspect of the elbow	None
Pain at the medial aspect of the elbow	None
Ulnar wrist pain	None
Smooth philtrum	None
Decreased depth of philtrum	None
Indistinct philtrum	None
Simple philtrum	None
Shallow philtrum	None
Flat philtrum	None
Philtrum, smooth	None
Aplasia of the eyelids	None
Agenesis of eyelids	None
Ablepharon of eyelid	None
Ablepharon	None
Absent eyelids	None
Missing eyelids	None
Gingival cleft	None
Submucous cleft velum	None
Partial thickness cleft soft palate	None
Submucous cleft soft palate	None
Sunken fontanelle	None
Absence of lower premolar	None
Failure of development of mandibular premolar	None
Missing lower premolar	None
Absence of mandibular premolar	None
Agenesis of mandibular premolar	None
Missing mandibular premolar	None
Increased volume of upper lip	None
Thick upper lip	None
Thick red part of the upper lip	None
Prominent upper lip	None
Increased volume of upper lip vermilion	None
Thick upper lip vermilion	None
Thick vermilion border of upper lip	None
Full upper lip	None
Full upper lip vermilion	None
Plump upper lip	None
Increased height of upper lip vermilion	None
Prominent upper lip vermilion	None
Facial fat hypertrophy	None
Increased volume of facial adipose tissue	None
Increased amount of facial adipose tissue	None
Facial fat hyperplasia	None
