Abnormality of body height	HP:0000002
Failure to thrive secondary to recurrent infections	HP:0008866
Micromelic dwarfism	HP:0008873
Short-limb dwarfism	HP:0008873
Brachymelic dwarfism	HP:0008873
Disproportionate short-limb short stature	HP:0008873
Short-limbed dwarfism	HP:0008873
Short limb dwarfism	HP:0008873
Disproportionate short limb dwarfism	HP:0008873
Short limb dwarfism, disproportionate	HP:0008873
Dwarfism, short-limbed	HP:0008873
Short stature, disproportionate short limb	HP:0008873
Short stature, disproportionate short-limb	HP:0008873
Mild prenatal growth deficiency	HP:0008883
Mild intrauterine growth retardation	HP:0008883
Severe short-limb dwarfism	HP:0008890
Postnatal growth deficiency	HP:0008897
Postnatal growth deceleration	HP:0008897
Postnatal growth retardation	HP:0008897
Postnatal growth failure	HP:0008897
Growth delay as children	HP:0008897
Growth retardation as children	HP:0008897
Disproportionately short upper portion of limb	HP:0008905
Short stature, rhizomelic	HP:0008905
Rhizomelic short limbs	HP:0008905
Rhizomelia	HP:0008905
Rhizomelic short stature	HP:0008905
Rhizomelic dwarfism	HP:0008905
Rhizomelic shortening	HP:0008905
Symmetrical rhizomelic limb shortening	HP:0008905
Rhizomelic limb shortening	HP:0008905
Lethal micromelic dwarfism	HP:0008909
Lethal short-limbed dwarfism	HP:0008909
Lethal short-limbed short stature	HP:0008909
Childhood-onset truncal obesity	HP:0008915
Truncal obesity apparent in childhood	HP:0008915
Dwarfism, neonatal short-limbed	HP:0008921
Short-limb dwarfism identifiable neonatally	HP:0008921
Neonatal short-limb short stature	HP:0008921
Short limb dwarfism recognisable at birth	HP:0008921
Neonatal short-limbed dwarfism	HP:0008921
Short-limbed dwarfism identifiable at birth	HP:0008921
Short-limb dwarfism identifiable at birth	HP:0008921
Short limb dwarfism recognizable at birth	HP:0008921
Disproportionate short-trunk short stature, identifiable in childhood	HP:0008922
Short-trunk dwarfism identifiable during childhood	HP:0008922
Childhood-onset short-trunk short stature	HP:0008922
Asymmetric short stature	HP:0008929
Lethal short-trunk short stature	HP:0011404
Lethal short-trunk dwarfism	HP:0011404
Childhood onset short-limb short stature	HP:0011405
Short-limb dwarfism identifiable during childhood	HP:0011405
Short-trunk dwarfism, identifiable in infancy	HP:0011406
Infancy onset short-trunk short stature	HP:0011406
Proportionate tall stature	HP:0011407
Moderate intrauterine growth retardation	HP:0011408
Right atrial isomerism	HP:0011536
Left atrial isomerism	HP:0011537
Abnormality of abdominal situs	HP:0011620
Rhizomelic leg shortening	HP:0012106
Delayed menarche	HP:0012569
Delayed start of first period	HP:0012569
Abdominal obesity	HP:0012743
Central obesity	HP:0012743
Abnormal upper to lower segment ratio	HP:0012772
Reduced upper to lower segment ratio	HP:0012773
Increased upper to lower segment ratio	HP:0012774
Delayed adrenarche	HP:0025453
Class I obesity	HP:0025499
Obesity grade 1	HP:0025499
Class II obesity	HP:0025500
Obesity grade 2	HP:0025500
Obesity grade 3	HP:0025501
Class III obesity	HP:0025501
Overweight	HP:0025502
Delayed thelarche	HP:0025515
Increased body fat percentage	HP:0025521
Heterotaxia	HP:0030853
Heterotaxy	HP:0030853
Absent adolescent growth spurt	HP:0031087
Absent pubertal growth spurt	HP:0031087
Increased body mass index	HP:0031418
Increased BMI	HP:0031418
Bronchial isomerism	HP:0031564
Abdominal situs ambiguus	HP:0031565
Abnormal waist to hip ratio	HP:0031818
Increased waist-hip ratio	HP:0031819
Increased waist-to-hip ratio	HP:0031819
Increased waist to hip ratio	HP:0031819
Increased WHR	HP:0031819
Decreased waist to hip ratio	HP:0031820
Decreased waist-to-hip ratio	HP:0031820
Decreased WHR	HP:0031820
Decreased waist-hip ratio	HP:0031820
Isomerism	HP:0031853
Left Isomerism	HP:0031854
Left-sided isomerism	HP:0031854
Right isomerism	HP:0031855
Right-sided isomerism	HP:0031855
Abnormal skinfold thickness measurement	HP:0033170
Abnormal triceps skinfold thickness	HP:0033171
Increased triceps skinfold thickness	HP:0033172
Acromegaly	HP:0033794
Acral hypertrophy	HP:0033794
Acral enlargement	HP:0033794
Acral overgrowth	HP:0033794
Acromegalic growth	HP:0033794
Growth without growth hormone	HP:0033795
Decreased body fat percentage	HP:0041079
Decreased adipose tissue percentage	HP:0041079
Abnormality of body mass index	HP:0045081
Abnormal body mass index	HP:0045081
Abnormal BMI	HP:0045081
Decreased body mass index	HP:0045082
Decreased BMI	HP:0045082
Hemihypertrophy of lower limb	HP:0100553
Overgrowth of one leg	HP:0100553
Overgrowth of one arm	HP:0100554
Hemihypertrophy of upper limb	HP:0100554
Asymmetric growth	HP:0100555
Uneven or disproportionate growth of one body part compared to another	HP:0100555
Hemiatrophy of the body	HP:0100556
Hemiatrophy	HP:0100556
Asymmetric limb shortening	HP:0100556
Asymmetric lower limb shortening	HP:0100557
Hemiatrophy of lower limb	HP:0100557
Hemiatrophy of upper limb	HP:0100558
Hemihypotrophy of upper limb	HP:0100558
Asymmetric upper limb shortening	HP:0100558
Left and right leg differ in length or width	HP:0100559
Leg length discrepancy	HP:0100559
Lower limb asymmetry	HP:0100559
Unequal size of arms	HP:0100560
Upper limb asymmetry	HP:0100560
Asymmetric leg shortening	HP:0200053
Asymmetric lower limb shortness	HP:0200053
Hemihypotrophy of lower limb	HP:0200053
Elevated urine L-xylulose level	None
Elevated immunoglobulin E	None
High immunoglobulin E	None
Increased circulating IgE level	None
Elevated serum IgE	None
Increased circulating IgE concentration	None
Reduced C27 3beta-HSD activity in cultured fibroblasts	None
Elevated circulating dimethyl sterol concentration	None
Methylmalonic aciduria	None
High blood methylmalonic acid levels	None
Methymalonicaciduria	None
Reduced hepatic glyoxylate reductase activity	None
Reduced hepatic hydroxypyruvate reductase activity	None
Monoclonal elevation of circulating IgE	None
Monoclonal elevated circulating IgE concentration	None
Abnormal serum iron concentration	None
Abnormal circulating iron concentration	None
Hyaline casts	None
Reduced vitamin b6 levels	None
Vitamin B6 deficiency	None
Reduced circulating vitamin B6 level	None
Reduced circulating vitamin B6 circulating	None
Hyperlysinemia	None
Elevated blood lysine	None
Elevated circulating L-alloisoleucine concentration	None
Abnormal macroscopic urine appearance	None
Elevated CSF cholestanol	None
Elevated CSF cholestanol concentration	None
Type III procollagen synthesis by fibroblasts low	None
Reduced fibroblast type III procollagen synthesis	None
Monocarboxylic aciduria	None
Hyperasparaginemia	None
High blood asaparagine levels	None
Increased blood asparagine concentration	None
Increased sulfur-containing amino acid level in urine	None
Increased sulfur amino acid level in urine	None
Increased sulphur amino acid level in urine	None
Elevated urinary histamine level	None
Positive CSF fungus test	None
Decreased urinary chloride	None
Hypochloriduria	None
Low urine chloride levels	None
Light-chain paraproteinemia	None
Hyponatriuria	None
Low urine sodium levels	None
Elevated urine biliverdin level	None
Hypolipidemia	None
Positive blood 1,3 beta glucan test	None
Moderate proteinuria	None
Increased CSF ribose concentration	None
Increased level of ribose in CSF	None
Increased level of ribose in cerebrospinal fluid	None
Amyloid disease	None
Amyloidosis	None
Calcium phosphate crystalluria	None
Abnormal energy expenditure	None
Reduced circulating acetylcarnitine concentration	None
Reduced circulating C2 acylcarnitine concentration	None
Elevated circulating 3-methylhistidine concentration	None
Abnormal circulating aspartate concentration	None
Abnormal circulating aspartic acid concentration	None
Reduced lysosomal acid lipase activity	None
Reduced leukocyte acid lipase activity	None
Decreased total iron binding capacity	None
Reduced lymphocyte proliferation to mitogen	None
Decreased lymphocyte proliferation in response to mitogen	None
JC virus PCR in blood positive	None
Positive JC-virus PCR test in the blood circulation	None
Elevated circulating glycolate concentration	None
Elevated circulating O-dodecanoylcarnitine concentration	None
Elevated plasma dodecanoylcarnitine, C12:0	None
Elevated circulating dodecanoylcarnitine concentration	None
Lambda Bence Jones proteinuria	None
Abnormality of folate metabolism	None
Elevated circulating gamma-aminobutyric acid concentration	None
Increased circulating GABA concentration	None
Increased level of gamma-aminobutyric acid in serum	None
Increased level of GABA in serum	None
Decreased galactosylation of N-linked protein glycosylation	None
Increased serum bile acid concentration during pregnancy	None
Increased serum bile acid concentration during pregnancy, resolves	None
Elevated urine 3,5,6-trichloro-2-pyridinol level	None
Decreased circulating prealbumin concentration	None
Decreased prealbumin level	None
Neutralizing anti-rabies virus antibody positivity	None
Chylothorax	None
Abnormal circulating biotinidase concentration	None
Abnormal biotinidase level	None
Abnormal sweat electrolytes	None
Decreased circulating PTH level	None
Decreased serum PTH	None
Decreased circulating parathyroid hormone level	None
Decreased serum parathyroid hormone	None
Decreased serum parathyroid hormone level	None
Abnormal CSF protein concentration	None
Abnormal CSF protein level	None
Rectilinear profiles ultrastructurally	None
Rectilinear intracellular accumulation of autofluorescent lipopigment storage material	None
Schistosoma antibody titer high in blood	None
Anti-schistosoma antibody positivity	None
Leukocyturia	None
High urine neutrophil count	None
Pyuria	None
Decreased activity of mitochondrial complex IV	None
Respiratory complex IV deficiency	None
Decreased glucose-6-phosphate dehydrogenase level in red blood cells	None
Decreased G6PD level in red blood cells	None
Decreased G6PD level in RBCs	None
Increased resting energy expenditure	None
Homoargininuria	None
Homoarginine high in urine	None
Diminished circulating reduced nicotinamide adenine dinucleotide (NADH) concentration	None
Positive bloodstream Coxsackievirus nucleic acid pathogen test	None
Low blood Mg levels	None
Hypomagnesemia	None
Low blood magnesium levels	None
Increased urine phenylacetylglutamine level	None
Abnormal salivary metabolite concentration	None
MODY	None
Maturity onset diabetes of the young	None
Maturity-onset diabetes of the young	None
Abnormal CSF homovanillic acid concentration	None
Decreased activity of mitochondrial complex I	None
Respiratory complex I deficiency	None
Elevated urine keto acid level	None
Decreased circulating calcitonin concentration	None
Calcitonin low in blood	None
Impaired folate absorption	None
Positive bloodstream rapid plasma reagin test	None
Decreased uridine diphosphate glucose-4-epimerase level in red blood cells	None
Decreased UDP-glucose 4-epimerase level in RBCs	None
Decreased erythrocyte UDP glucose-4-epimerase concentration	None
Decreased UDP-glucose 4-epimerase level in red blood cells	None
Decreased erythrocyte uridine diphosphate glucose-4-epimerase concentration	None
Hyperalaninemia	None
Increased serum alanine	None
Increased blood alanine	None
Abnormality of the tricarboxylic cycle	None
Abnormality of citric acid cycle	None
Abnormality of Krebs cycle metabolism	None
Elevated urinary isovalerylglycine level	None
Hypernatremic dehydration	None
Predominantly lower limb lymphedema	None
Abnormal urine carbohydrate level	None
Elevated urine N-acetyltyrosine level	None
Abnormal zinc metabolism	None
Abnormal blood zinc concentration	None
Abnormality of zinc homeostasis	None
Increased truncated complex N-glycans on glycoproteins	None
Decreased complex N-glycan level	None
Increased circulating xanthine concentration	None
Hyperxanthinemia	None
Elevated circulating acetylcarnitine concentration	None
Elevated circulating C2 acylcarnitine concentration	None
Increased serum sorbitol concentration	None
Decreased serum bile acid concentration	None
Reduced circulating catalase activity	None
Reduced catalase level	None
Nonketotic hypoglycemia	None
Reduced circulating aspartate aminotransferase concentration	None
Anti-trypanosoma cruzi antibody positivity	None
Decreased uridine diphosphate glucose-4-epimerase level in plasma	None
Decreased circulating uridine diphosphate glucose-4-epimerase concentration	None
Decreased circulating UDP glucose-4-epimerase concentration	None
Decreased UDP glucose-4-epimerase level in plasma	None
Decreased UDP-glucose 4-epimerase level in plasma	None
Partial absence of isohemagglutinins	None
Decreased natural antibody to blood group agents	None
Reduced isohemagglutinin level	None
Reduced erythrocyte galactokinase activity	None
Acute phase response	None
Decreased glycosyltransferase O-Fucosylpeptide 3-Beta-N-Acetylglucosaminyltransferase level	None
Reduced tissue 3-methylglutaconyl-CoA hydratase activity	None
Elevated CSF L-2-hydroxyglutaric acid concentration	None
Decreased urine guanidinoacetic acid level	None
Increased anti-gluten IgE antibody level	None
Increased level of anti-gluten IgE antibody	None
Abnormality of B cell physiology	None
Reduced B cell function	None
Positive synovial fluid gram stain	None
Reduced uroporphyrinogen decarboxylase activity	None
Abnormal circulating globulin concentration	None
Abnormal circulating globulin level	None
Increased circulating amylase level	None
Hyperamylasemia	None
Decreased sialylation of N-linked protein glycosylation	None
Abnormal circulating free fatty acid level	None
Abnormal circulating free fatty acid concentration	None
4-Hydroxyphenylpyruvic aciduria	None
Hydroxyphenylpyruvic aciduria	None
Pediculosis capitis	None
Elevated urinary saccharopine level	None
Abnormal urine citrate concentration	None
Abnormal urine citric acid concentration	None
Decreased blood isoleucine concentration	None
Low blood isoleucine levels	None
Hypoisoleucinemia	None
Abnormal urinary creatine level	None
Reduced leukocyte arylsulfatase B activity	None
Glyoxalase deficiency	None
Intolerance to protein	None
Increased circulating farnesol concentration	None
Increased tryptophan in blood	None
High blood tryptophan concentration	None
Hypertryptophanemia	None
Acholic stools	None
Clay coloured stools	None
Discolored, acholic stools	None
Clay colored stools	None
Acholia	None
Increased fucosylation of N-linked protein glycosylation	None
Unconjugated hyperbilirubinemia	None
Argininosuccinic aciduria	None
Reduced tissue beta-mannosidase activity	None
Reduced beta-mannosidase activity in cultured fibroblasts	None
Muscle biopsy: myoadenylate deaminase low	None
Reduced muscle myoadenylate deaminase activity	None
Abnormal CSF valine concentration	None
Abnormal valine levels in cerebrospinal fluid	None
Low blood creatinine level	None
Reduced creatinine levels	None
Decreased serum creatinine	None
Hyperpepsinogenemia I	None
Elevated circulating Angiotensin-converting enzyme concentration	None
Angiotensin-converting enzyme (ACE) high in blood	None
Abnormal circulating alpha-L-fucosidase activity	None
Positive human Immunodeficiency virus nucleic acid test in the blood circulation	None
Increased CSF phenylalanine concentration	None
High phenylalanine levels in cerebrospinal fluid	None
Elevated urine propionic acid level	None
Abnormal circulating vitamin A concentration	None
Elevated CSF neurofilament light chain concentration	None
Elevated CSF neurofilament light chain	None
Severe albuminuria	None
Heavy albuminuria	None
Decreased T-antigen concentration	None
Decreased core 1 O-glycan level	None
Increased muscle lipid content	None
Muscle lipidosis	None
Fat accumulation in muscle fibres	None
Fat deposits in muscle fibers	None
Lipid accumulation in skeletal muscle	None
Skeletal muscle lipid accumulation	None
Fat accumulation in muscle fibers	None
Fat deposits in muscle fibres	None
Reduced tissue carnitine O-palmitoyltransferase 2 activity	None
Reduced insulin-like factor 3 level	None
Reduced plasma INSL3 level	None
Abnormal circulating polysaccharide concentration	None
Decreased immunoglobulin level in body fluid	None
Decreased retinol-binding protein level	None
High nonceruloplasmin-bound serum copper	None
Abnormal citrulline levels in cerebrospinal fluid	None
Abnormal CSF citrulline concentration	None
Microvesicular steatosis	None
Microvesicular hepatic steatosis	None
Elevated urinary formiminoglutamic acid level	None
Formiminoglutamic acid high in urine	None
Increased monosialylated core 1 O-glycan level	None
Increased sialyl T-antigen concentration	None
Decreased urinary sulphate	None
Decreased urinary sulfate	None
Elevated circulating ketone body concentration	None
Hyperketonemia	None
Increased level of ketone bodies in blood	None
Ketonemia	None
Low serine levels in cerebrospinal fluid	None
Decreased CSF serine concentration	None
Abnormality of aromatic amino acid family metabolism	None
Abnormal circulating aromatic amino acid concentration	None
Abnormal circulating unsaturated fatty acid concentration	None
Elevated circulating methysterol concentration	None
Elevated fecal pH	None
Stool pH high	None
Elevated faecal pH	None
Positive CSF nucleic acid pathogen test	None
Positive bloodstream EBV monospot test	None
Increased circulating IgG4 level	None
Abnormal CSF glucose level	None
Abnormal CSF glucose concentration	None
Positive mycobacterial synovial nucleic acid test	None
Positive bloodstream nucleic acid pathogen test	None
Fluid around lungs	None
Pleural effusion	None
Reduced hepatic dihydropyrimidinase activity	None
Abnormal urinary hypoxanthine level	None
Respiratory complex II deficiency	None
Decreased activity of mitochondrial complex II	None
Nitrituria	None
Dibasicaminoaciduria	None
Type 1 diabetes	None
Juvenile diabetes mellitus	None
Type I diabetes mellitus	None
Insulin-dependent diabetes mellitus	None
Diabetes mellitus Type I	None
Type I diabetes	None
Conjugated hyperbilirubinemia	None
Direct hyperbilirubinemia	None
Abnormal urinary 3-methylhistidine level	None
Highly elevated serum phosph-CK	None
Highly elevated creatine phosphokinase	None
Highly elevated serum CK	None
Highly elevated CPK	None
Highly elevated creatine kinase	None
Highly elevated serum CPK	None
Increased serum surfactant protein level	None
Increased circulating surfactant protein level	None
Renal tubular epithelial cell casts	None
Elevated circulating methylmalonic acid concentration	None
Methylmalonic acidemia	None
Positive CSF treponema pallidum nucleic acid test	None
Aspartic aciduria	None
Reduced CSF dopamine concentration	None
Positive respiratory tract nucleic acid pathogen test	None
Elevated urinary 3-hydroxypentanoic acid level	None
Abnormal circulating ornithine concentration	None
Reduced urinary iodine level	None
Positive plasma/serum cotinine test	None
Reduced alkyl-DHAP synthase activity in cultured fibroblasts	None
Reduced alkyl-dihydroxyacetonephosphate synthase activity in cultured fibroblasts	None
Positive fecal cryptosporidium antigen test	None
Elevated circulating dihydrothymine concentration	None
Dihydrothymine high in blood	None
Elevated mitochondrial citrate synthase activity	None
Aspartylglucosaminuria	None
High urine aspartylglucosamine levels	None
Phenylpropionylglycine present in urine	None
Elevated urine phenylpropionylglycine level	None
Abnormality of redox activity	None
Elevated uridine in urine	None
Elevated urinary uridine level	None
Low CSF albumin	None
Decreased CSF albumin concentration	None
Oedema of dorsum of hands	None
Edema of dorsum of hands	None
Edema of the dorsum of hands	None
Oedema of the dorsum of hands	None
Urine issues	None
Pee issues	None
Abnormality of urine homeostasis	None
Decreased CSF valine concentration	None
Low valine levels in cerebrospinal fluid	None
Decreased apo-AI level	None
Decreased apolipoprotein AI level	None
Decreased circulating apolipoprotein A-I concentration	None
Decreased apoA-I level	None
Positive skin fungus test	None
Positive KOH test for fungi	None
Pleural empyema	None
Pyothorax	None
Increased urinary disaccharide excretion	None
Suberylglycine high in urine	None
Elevated urine suberylglycine level	None
Elevated urinary sulfatide level	None
Increased phosphoribosylpyrophosphate synthetase level	None
Increased PRPS1 activity	None
Increased phosphoribosyl pyrophosphate synthetase activity	None
Oligosacchariduria	None
Urinary incontinence	None
Bladder incontinence	None
Loss of bladder control	None
Premature sudden cardiac death	None
Sudden cardiac death	None
Sudden death	None
Abdominal pain	None
Stomach pain	None
Pain in stomach	None
Abdominal discomfort	None
Upset stomach	None
Gastro pain	None
Gastrointestinal pain	None
Intermittent abdominal pain	None
Episodic abdominal pain	None
Faecal incontinence	None
Bowel incontinence	None
Fecal incontinence	None
Loss of bowel control	None
Anal incontinence	None
Bone pain	None
Joint pains	None
Arthritic pain	None
Arthralgia	None
Arthralgias	None
Joint pain	None
Muscle pain	None
Myalgias	None
Myalgia	None
Muscle ache	None
Back pain	None
Lumbago	None
Low back pain	None
Lower back pain	None
Exercise intolerance	None
Low exercise endurance	None
Poor exercise tolerance	None
Decreased ability to exercise	None
Inability to exercise	None
Exercise-induced muscle pain	None
Muscle pain on exercise	None
Exercise-induced myalgia	None
Muscle pain with exercise	None
Muscle pain, exercise-induced	None
Joint pain/Joint inflammation	None
Arthralgia/arthritis	None
Costochondral pain	None
Costochondral junction pain	None
Limb pain	None
Pain in extremities	None
Stress urinary incontinence	None
Abdominal colic	None
Sciatica	None
Occipital neuralgia	None
Tiredness	None
Tired	None
Fatigue	None
Episodic fatigue	None
Chronic fatigue	None
Chronic extreme exhaustion	None
Upper limb pain	None
Lower limb pain	None
Leg pain	None
Pain	None
Chronic pain	None
Long-lasting pain	None
Allodynia	None
Nipple tenderness	None
Sneeze	None
Paroxysmal sneezing	None
Constitutional symptom	None
Chills	None
Shivering	None
Shuddering	None
Rigors	None
Rigours	None
Foot pain	None
Lack of energy and strength	None
Asthenia	None
Weakness	None
Prostration	None
Scrotal pain	None
Flank pain	None
Kidney pain	None
Night sweats	None
Nocturnal hyperhidrosis	None
Otalgia	None
Ear pain	None
Pain in the ear	None
Tongue pain	None
Painful tongue	None
Neck pain	None
Shoulder pain	None
Elbow pain	None
Wrist pain	None
Finger pain	None
Hip pain	None
Knee pain	None
Pain under knee cap	None
Ankle pain	None
Toe pain	None
Eye movement-induced pain	None
Vulvar pain	None
Vulvodynia	None
Postexertional symptom exacerbation	None
Exercise-induced malaise	None
Postexertional malaise	None
Impairment of activities of daily living	None
Impaired ability to bathe oneself	None
Impaired ability to dress oneself	None
Impaired toileting ability	None
Impaired transferring ability	None
Impaired feeding ability	None
Impaired continence	None
Hot flashes	None
Chest distress	None
Tightness of chest	None
Chest tightness	None
Tightness in chest	None
Groin pain	None
Calf myalgia	None
Calf muscle pain	None
Gastrocnemius myalgia	None
Wilson sign	None
Precordial pain	None
Foetor hepaticus	None
Fetor hepaticus	None
Erythromelalgia	None
Episodic pain	None
Breakthrough pain	None
Paroxysmal rectal pain	None
Abdominal cramps	None
Bladder pain	None
Tendon pain	None
Abdominal rigidity	None
Rigid abdomen	None
Abdominal guarding	None
Body ache	None
Pharyngodynia	None
Throat discomfort	None
Pharyngalgia	None
Throat pain	None
Sore throat	None
Central fatigue	None
Cognitive fatigue	None
Sudden unexpected death in epilepsy	None
SUDEP	None
Neuralgia	None
Acute abdomen	None
Acute abdominal pain	None
Diminished health-related quality of life	None
Diminished physical health	None
Diminished physical functioning	None
Decline in physical functional health	None
Mental impairment	None
Diminished mental health	None
Reduced mental health	None
Frailty	None
Occupational disability	None
Pain between shoulder blades	None
Intrascapular pain	None
Pleuritic chest pain	None
Malaise	None
Testicular pain	None
Pain in testicles	None
Coldness	None
Coolness to palpation	None
Cold skin temperature	None
Cool skin	None
Cool skin temperature	None
Mastalgia	None
Painful breast	None
Breast pain	None
Pain in the pelvis	None
Pelvic pain	None
Buttock pain	None
Eyelid pain	None
Encopresis	None
Stool soiling	None
Stool holding	None
Jaw pain	None
Penile pain	None
Pain in penis	None
Hand pain	None
Pain in head and neck region	None
Recurrent singultus	None
Recurrent synchronous diaphragmatic flutter	None
Recurrent hiccup	None
Recurrent hiccough	None
Hiccups	None
Hiccup	None
Painful menstruation	None
Dysmenorrhea	None
Trigeminal neuralgia	None
Tic douloureux	None
Chest discomfort	None
Chest pain	None
Thoracic pain	None
Death of body tissue due to lack of blood flow or infection	None
Gangrene	None
Bad breath	None
Halitosis	None
Foetor ex ore	None
Lower jaw pain	None
Mandibular pain	None
Eye pain	None
Ocular pain	None
Epigastric pain	None
Epigastrium pain	None
Fishy body odor	None
Fishy odour	None
Fishy odor	None
Fishy body odour	None
Fish odor	None
Musty odor	None
Vaginal fish odor	None
Dyspepsia	None
Indigestion	None
Body odor	None
Osmidrosis	None
Bromidrosis	None
Bromhidrosis	None
BO	None
Anal pain	None
Anorectal pain	None
Proctalgia	None
Rectal pain	None
Excessive belching	None
Excessive eructation	None
Excessive burping	None
Costovertebral angle pain	None
Costovertebral angle tenderness	None
Chandelier sign	None
Cervical motion tenderness	None
Painful defecation	None
Pain associated with bowel movements	None
Forearm pain	None
Burning eye sensation	None
