Abnormality of the breast	HP:0000769
Onset of lymphedema around puberty	None
Lymphatic obstruction	None
Lymphedema	None
Lymphoedema	None
Swelling caused by excess lymph fluid under skin	None
Elevated CSF hydroxyproline concentration	None
Dark urine	None
Anti-SARS-CoV-2 coronavirus antibody positivity	None
Oedema of the upper limbs	None
Edema of the upper limbs	None
Fluid accumulation in upper limbs	None
Increased serine family amino acid in urine	None
Abnormal circulating alpha-fetoprotein concentration	None
Monoclonal light chain cardiac amyloidosis	None
Increased urine harderoporphyrin level	None
Waldenstrom macroglobulinemia	None
Monoclonal immunoglobulin M proteinemia	None
Decreased transferrin saturation	None
Elevated urine D-lactate level	None
Storage in hepatocytes	None
Increased muscle lipid droplets	None
Increased intramyocellular lipid droplets	None
Reduced sepiapterin reductase activity in cultured fibroblasts	None
Increased circulating specific IgE antibody concentration	None
Increased circulating specific IgE antibody	None
High levels of isoleucine in cerebrospinal fluid	None
Increased CSF isoleucine concentration	None
Decreased mannosylation of N-linked protein glycosylation	None
Elevated circulating hyaluronic acid concentration	None
Hyaluronic acid high in blood	None
Aspartic aciduria	None
Low alanine levels in cerebrospinal fluid	None
Decreased CSF alanine concentration	None
Elevated urinary 2-oxoisocaproic level	None
Hypoproteinemic oedema	None
Hypoproteinemic edema	None
Medication crystalluria	None
Decreased urinary biopterin level	None
Elevated ALP of hepatic origin	None
Elevated alkaline phosphatase of hepatic origin	None
Renal interstitial amyloid deposits	None
Renal interstitial amyloidosis	None
Renal interstitial amyloid deposition	None
Renal interstitial amyloid	None
Abnormal circulating vitamin E concentration	None
Abnormal circulating proline concentration	None
Abnormality of acid-base homeostasis	None
Acid base imbalance	None
Bloodstream pathogen-specific antibody positivity	None
Increased CSF tryptophan concentration	None
High tryptophan levels in cerebrospinal fluid	None
Abnormality of body height	None
Increased body height	None
Increased linear growth	None
Tall stature	None
Accelerated linear growth	None
Pubertal delay	None
Delayed puberty	None
Delayed pubertal growth	None
Delayed pubertal development	None
Pituitary dwarfism	None
Growth issue	None
Growth abnormality	None
Abnormal growth	None
Poor weight gain	None
Postnatal failure to thrive	None
Faltering weight	None
FTT	None
Undergrowth	None
Failure to thrive	None
Weight faltering	None
Poor growth	None
Growth failure	None
Retarded growth	None
Growth deficiency	None
Growth delay	None
Delayed growth	None
Growth retardation	None
Very poor growth	None
Prenatal growth retardation	None
Prenatal-onset growth retardation	None
Intrauterine growth failure	None
In utero growth retardation	None
Intrauterine growth restriction	None
Fetal growth restriction	None
Intrauterine retardation	None
Intrauterine growth retardation	None
Prenatal growth failure	None
Prenatal onset growth retardation	None
Prenatal growth deficiency	None
Small for gestational age infant	None
FGR	None
Intrauterine growth retardation, IUGR	None
IUGR	None
Having too much body fat	None
Obesity	None
Low birth weight	None
Small for gestational age	None
Birth weight less than 10th percentile	None
Marfanoid habitus	None
Marfanoid body habitus	None
Reduced upper-lower segment ratio	None
Dolichostenomelia	None
Disproportionate tall stature	None
Fetal macrosomia	None
Macrosomia, neonatal	None
Birth weight > 90th percentile	None
Large for gestational age	None
Macrosomia	None
Birthweight > 90th percentile	None
Foetal macrosomia	None
Severe faltering weight	None
Severe postnatal failure to thrive	None
Marked failure to thrive	None
Severe failure to thrive	None
Severe weight faltering	None
Hemihypertrophy	None
Asymmetric limb hypertrophy	None
Asymmetric overgrowth	None
Postnatal onset of mild growth retardation	None
Mild postnatal growth retardation	None
Mild growth deficiency	None
Failure to thrive in first year of life	None
Weight faltering in infancy	None
Faltering weight in infancy	None
Failure to thrive in infancy	None
Thin build	None
Thin body habitus	None
Asthenic habitus	None
Slender build	None
Generalized overgrowth	None
General overgrowth	None
Overgrowth	None
Generalised overgrowth	None
Loss of weight	None
Weight loss	None
Truncal obesity	None
Centripetal obesity	None
Situs inversus visceralis	None
Situs inversus viscerum	None
Abdominal situs inversus	None
Disproportionate short stature	None
Short stature, severe disproportionate	None
Short stature, disproportionate	None
Relative short stature	None
short stature, mild	None
Mild short stature	None
Proportionate short stature	None
Short stature, proportionate	None
Proportionate small stature	None
Short stature, extreme	None
Short stature, severe	None
Proportionate dwarfism	None
Dwarfism	None
Severe short stature	None
Birth length greater than 97th percentile	None
Fetal overgrowth	None
Foetal overgrowth	None
Disproportionate short-trunk short stature	None
Disproportionate short-trunked short stature	None
Short-trunked dwarfism	None
Disproportionate short-trunked dwarfism	None
Birth length < 3rd percentile	None
Birth length less than 3rd percentile	None
Birth length <3rd percentile	None
Eunuchoid habitus	None
Decreased body height	None
Small stature	None
Height less than 3rd percentile	None
Stature below 3rd percentile	None
Short stature	None
Abnormality of habitus	None
Abnormality of body weight	None
Increased body weight	None
Weight gain	None
Low weight	None
Weight less than 3rd percentile	None
Low body weight	None
Decreased weight	None
Decreased body weight	None
Cachexia	None
Wasting syndrome	None
Rhizomelic arm shortening	None
Mesomelic/rhizomelic limb shortening	None
Rhizo-meso-acromelic limb shortening	None
Short stature, disproportionate mesomelic	None
Short stature, mesomelic	None
Mesomelic dwarfism	None
Mesomelic short stature	None
Dwarfism, short limb mesomelic	None
Severe intrauterine growth retardation	None
Intrauterine growth retardation, severe	None
Severe prenatal growth deficiency	None
Moderately short stature	None
Moderate short stature	None
Short stature, moderate	None
Marked growth retardation	None
Severe postnatal growth failure	None
Severe postnatal growth deficiency	None
Severe postnatal growth retardation	None
Severe growth delay in children	None
Moderate postnatal growth retardation	None
Moderate growth delay in children	None
Neonatal short-trunk short stature	None
Short-trunk dwarfism identifiable at birth	None
Weight faltering secondary to recurrent infections	None
Faltering weight secondary to recurrent infections	None
Failure to thrive secondary to recurrent infections	None
Micromelic dwarfism	None
Short-limb dwarfism	None
Brachymelic dwarfism	None
Disproportionate short-limb short stature	None
Short-limbed dwarfism	None
Short limb dwarfism	None
Disproportionate short limb dwarfism	None
Short limb dwarfism, disproportionate	None
Dwarfism, short-limbed	None
Short stature, disproportionate short limb	None
Short stature, disproportionate short-limb	None
Mild prenatal growth deficiency	None
Mild intrauterine growth retardation	None
Severe short-limb dwarfism	None
Postnatal growth deficiency	None
Postnatal growth deceleration	None
Postnatal growth retardation	None
Postnatal growth failure	None
Growth delay as children	None
Growth retardation as children	None
Disproportionately short upper portion of limb	None
Short stature, rhizomelic	None
Rhizomelic short limbs	None
Rhizomelia	None
Rhizomelic short stature	None
Rhizomelic dwarfism	None
Rhizomelic shortening	None
Symmetrical rhizomelic limb shortening	None
Rhizomelic limb shortening	None
Lethal micromelic dwarfism	None
Lethal short-limbed dwarfism	None
Lethal short-limbed short stature	None
Childhood-onset truncal obesity	None
Truncal obesity apparent in childhood	None
Dwarfism, neonatal short-limbed	None
Short-limb dwarfism identifiable neonatally	None
Neonatal short-limb short stature	None
Short limb dwarfism recognisable at birth	None
Neonatal short-limbed dwarfism	None
Short-limbed dwarfism identifiable at birth	None
Short-limb dwarfism identifiable at birth	None
Short limb dwarfism recognizable at birth	None
Disproportionate short-trunk short stature, identifiable in childhood	None
Short-trunk dwarfism identifiable during childhood	None
Childhood-onset short-trunk short stature	None
Asymmetric short stature	None
Lethal short-trunk short stature	None
Lethal short-trunk dwarfism	None
Childhood onset short-limb short stature	None
Short-limb dwarfism identifiable during childhood	None
Short-trunk dwarfism, identifiable in infancy	None
Infancy onset short-trunk short stature	None
Proportionate tall stature	None
Moderate intrauterine growth retardation	None
Right atrial isomerism	None
Left atrial isomerism	None
Abnormality of abdominal situs	None
Rhizomelic leg shortening	None
Delayed menarche	None
Delayed start of first period	None
Abdominal obesity	None
Central obesity	None
Abnormal upper to lower segment ratio	None
Reduced upper to lower segment ratio	None
Increased upper to lower segment ratio	None
Delayed adrenarche	None
Class I obesity	None
Obesity grade 1	None
Class II obesity	None
Obesity grade 2	None
Obesity grade 3	None
Class III obesity	None
Overweight	None
Delayed thelarche	None
Increased body fat percentage	None
Heterotaxia	None
Heterotaxy	None
Absent adolescent growth spurt	None
Absent pubertal growth spurt	None
Increased body mass index	None
Increased BMI	None
Bronchial isomerism	None
Abdominal situs ambiguus	None
Abnormal waist to hip ratio	None
Increased waist-hip ratio	None
Increased waist-to-hip ratio	None
Increased waist to hip ratio	None
Increased WHR	None
Decreased waist to hip ratio	None
Decreased waist-to-hip ratio	None
Decreased WHR	None
Decreased waist-hip ratio	None
Isomerism	None
Left Isomerism	None
Left-sided isomerism	None
Right isomerism	None
Right-sided isomerism	None
Abnormal skinfold thickness measurement	None
Abnormal triceps skinfold thickness	None
Increased triceps skinfold thickness	None
Acromegaly	None
Acral hypertrophy	None
Acral enlargement	None
Acral overgrowth	None
Acromegalic growth	None
Growth without growth hormone	None
Decreased body fat percentage	None
Decreased adipose tissue percentage	None
Abnormality of body mass index	None
Abnormal body mass index	None
Abnormal BMI	None
Decreased body mass index	None
Decreased BMI	None
Hemihypertrophy of lower limb	None
Overgrowth of one leg	None
Overgrowth of one arm	None
Hemihypertrophy of upper limb	None
Asymmetric growth	None
Uneven or disproportionate growth of one body part compared to another	None
Hemiatrophy of the body	None
Hemiatrophy	None
Asymmetric limb shortening	None
Asymmetric lower limb shortening	None
Hemiatrophy of lower limb	None
Hemiatrophy of upper limb	None
Hemihypotrophy of upper limb	None
Asymmetric upper limb shortening	None
Left and right leg differ in length or width	None
Leg length discrepancy	None
Lower limb asymmetry	None
Unequal size of arms	None
Upper limb asymmetry	None
Asymmetric leg shortening	None
Asymmetric lower limb shortness	None
Hemihypotrophy of lower limb	None
Urinary incontinence	None
Bladder incontinence	None
Loss of bladder control	None
Premature sudden cardiac death	None
Sudden cardiac death	None
Sudden death	None
Abdominal pain	None
Stomach pain	None
Pain in stomach	None
Abdominal discomfort	None
Upset stomach	None
Gastro pain	None
Gastrointestinal pain	None
Intermittent abdominal pain	None
Episodic abdominal pain	None
Faecal incontinence	None
Bowel incontinence	None
Fecal incontinence	None
Loss of bowel control	None
Anal incontinence	None
Bone pain	None
Joint pains	None
Arthritic pain	None
Arthralgia	None
Arthralgias	None
Joint pain	None
Muscle pain	None
Myalgias	None
Myalgia	None
Muscle ache	None
Back pain	None
Lumbago	None
Low back pain	None
Lower back pain	None
Exercise intolerance	None
Low exercise endurance	None
Poor exercise tolerance	None
Decreased ability to exercise	None
Inability to exercise	None
Exercise-induced muscle pain	None
Muscle pain on exercise	None
Exercise-induced myalgia	None
Muscle pain with exercise	None
Muscle pain, exercise-induced	None
Joint pain/Joint inflammation	None
Arthralgia/arthritis	None
Costochondral pain	None
Costochondral junction pain	None
Limb pain	None
Pain in extremities	None
Stress urinary incontinence	None
Abdominal colic	None
Sciatica	None
Occipital neuralgia	None
Tiredness	None
Tired	None
Fatigue	None
Episodic fatigue	None
Chronic fatigue	None
Chronic extreme exhaustion	None
Upper limb pain	None
Lower limb pain	None
Leg pain	None
Pain	None
Chronic pain	None
Long-lasting pain	None
Allodynia	None
Nipple tenderness	None
Sneeze	None
Paroxysmal sneezing	None
Constitutional symptom	None
Chills	None
Shivering	None
Shuddering	None
Rigors	None
Rigours	None
Foot pain	None
Lack of energy and strength	None
Asthenia	None
Weakness	None
Prostration	None
Scrotal pain	None
Flank pain	None
Kidney pain	None
Night sweats	None
Nocturnal hyperhidrosis	None
Otalgia	None
Ear pain	None
Pain in the ear	None
Tongue pain	None
Painful tongue	None
Neck pain	None
Shoulder pain	None
Elbow pain	None
Wrist pain	None
Finger pain	None
Hip pain	None
Knee pain	None
Pain under knee cap	None
Ankle pain	None
Toe pain	None
Eye movement-induced pain	None
Vulvar pain	None
Vulvodynia	None
Postexertional symptom exacerbation	None
Exercise-induced malaise	None
Postexertional malaise	None
Impairment of activities of daily living	None
Impaired ability to bathe oneself	None
Impaired ability to dress oneself	None
Impaired toileting ability	None
Impaired transferring ability	None
Impaired feeding ability	None
Impaired continence	None
Hot flashes	None
Chest distress	None
Tightness of chest	None
Chest tightness	None
Tightness in chest	None
Groin pain	None
Calf myalgia	None
Calf muscle pain	None
Gastrocnemius myalgia	None
Wilson sign	None
Precordial pain	None
Foetor hepaticus	None
Fetor hepaticus	None
Erythromelalgia	None
Episodic pain	None
Breakthrough pain	None
Paroxysmal rectal pain	None
Abdominal cramps	None
Bladder pain	None
Tendon pain	None
Abdominal rigidity	None
Rigid abdomen	None
Abdominal guarding	None
Body ache	None
Pharyngodynia	None
Throat discomfort	None
Pharyngalgia	None
Throat pain	None
Sore throat	None
Central fatigue	None
Cognitive fatigue	None
Sudden unexpected death in epilepsy	None
SUDEP	None
Neuralgia	None
Acute abdomen	None
Acute abdominal pain	None
Diminished health-related quality of life	None
Diminished physical health	None
Diminished physical functioning	None
Decline in physical functional health	None
Mental impairment	None
Diminished mental health	None
Reduced mental health	None
Frailty	None
Occupational disability	None
Pain between shoulder blades	None
Intrascapular pain	None
Pleuritic chest pain	None
Malaise	None
Testicular pain	None
Pain in testicles	None
Coldness	None
Coolness to palpation	None
Cold skin temperature	None
Cool skin	None
Cool skin temperature	None
Mastalgia	None
Painful breast	None
Breast pain	None
Pain in the pelvis	None
Pelvic pain	None
Buttock pain	None
Eyelid pain	None
Encopresis	None
Stool soiling	None
Stool holding	None
Jaw pain	None
Penile pain	None
Pain in penis	None
Hand pain	None
Pain in head and neck region	None
Recurrent singultus	None
Recurrent synchronous diaphragmatic flutter	None
Recurrent hiccup	None
Recurrent hiccough	None
Hiccups	None
Hiccup	None
Painful menstruation	None
Dysmenorrhea	None
Trigeminal neuralgia	None
Tic douloureux	None
Chest discomfort	None
Chest pain	None
Thoracic pain	None
Death of body tissue due to lack of blood flow or infection	None
Gangrene	None
Bad breath	None
Halitosis	None
Foetor ex ore	None
Lower jaw pain	None
Mandibular pain	None
Eye pain	None
Ocular pain	None
Epigastric pain	None
Epigastrium pain	None
Fishy body odor	None
Fishy odour	None
Fishy odor	None
Fishy body odour	None
Fish odor	None
Musty odor	None
Vaginal fish odor	None
Dyspepsia	None
Indigestion	None
Body odor	None
